object,split,label,image,mask
candle,test,normal,candle/Data/Images/Normal/0790.JPG,
candle,test,normal,candle/Data/Images/Normal/0107.JPG,
candle,test,normal,candle/Data/Images/Normal/0484.JPG,
candle,test,normal,candle/Data/Images/Normal/0690.JPG,
candle,test,normal,candle/Data/Images/Normal/0303.JPG,
candle,test,normal,candle/Data/Images/Normal/0237.JPG,
candle,test,normal,candle/Data/Images/Normal/0394.JPG,
candle,test,normal,candle/Data/Images/Normal/0214.JPG,
candle,test,normal,candle/Data/Images/Normal/0985.JPG,
candle,test,normal,candle/Data/Images/Normal/0657.JPG,
candle,test,normal,candle/Data/Images/Normal/0377.JPG,
candle,test,normal,candle/Data/Images/Normal/0659.JPG,
candle,test,normal,candle/Data/Images/Normal/0514.JPG,
candle,test,normal,candle/Data/Images/Normal/0617.JPG,
candle,test,normal,candle/Data/Images/Normal/0725.JPG,
candle,test,normal,candle/Data/Images/Normal/0172.JPG,
candle,test,normal,candle/Data/Images/Normal/0996.JPG,
candle,test,normal,candle/Data/Images/Normal/0483.JPG,
candle,test,normal,candle/Data/Images/Normal/0654.JPG,
candle,test,normal,candle/Data/Images/Normal/0400.JPG,
candle,test,normal,candle/Data/Images/Normal/0469.JPG,
candle,test,normal,candle/Data/Images/Normal/0525.JPG,
candle,test,normal,candle/Data/Images/Normal/0170.JPG,
candle,test,normal,candle/Data/Images/Normal/0631.JPG,
candle,test,normal,candle/Data/Images/Normal/0685.JPG,
candle,test,normal,candle/Data/Images/Normal/0320.JPG,
candle,test,normal,candle/Data/Images/Normal/0869.JPG,
candle,test,normal,candle/Data/Images/Normal/0423.JPG,
candle,test,normal,candle/Data/Images/Normal/0417.JPG,
candle,test,normal,candle/Data/Images/Normal/0751.JPG,
candle,test,normal,candle/Data/Images/Normal/0764.JPG,
candle,test,normal,candle/Data/Images/Normal/0967.JPG,
candle,test,normal,candle/Data/Images/Normal/0730.JPG,
candle,test,normal,candle/Data/Images/Normal/0306.JPG,
candle,test,normal,candle/Data/Images/Normal/0011.JPG,
candle,test,normal,candle/Data/Images/Normal/0215.JPG,
candle,test,normal,candle/Data/Images/Normal/0159.JPG,
candle,test,normal,candle/Data/Images/Normal/0629.JPG,
candle,test,normal,candle/Data/Images/Normal/0694.JPG,
candle,test,normal,candle/Data/Images/Normal/0518.JPG,
candle,test,normal,candle/Data/Images/Normal/0026.JPG,
candle,test,normal,candle/Data/Images/Normal/0844.JPG,
candle,test,normal,candle/Data/Images/Normal/0953.JPG,
candle,test,normal,candle/Data/Images/Normal/0900.JPG,
candle,test,normal,candle/Data/Images/Normal/0402.JPG,
candle,test,normal,candle/Data/Images/Normal/0621.JPG,
candle,test,normal,candle/Data/Images/Normal/0294.JPG,
candle,test,normal,candle/Data/Images/Normal/0016.JPG,
candle,test,normal,candle/Data/Images/Normal/0046.JPG,
candle,test,normal,candle/Data/Images/Normal/0705.JPG,
candle,test,normal,candle/Data/Images/Normal/0208.JPG,
candle,test,normal,candle/Data/Images/Normal/0674.JPG,
candle,test,normal,candle/Data/Images/Normal/0427.JPG,
candle,test,normal,candle/Data/Images/Normal/0552.JPG,
candle,test,normal,candle/Data/Images/Normal/0804.JPG,
candle,test,normal,candle/Data/Images/Normal/0333.JPG,
candle,test,normal,candle/Data/Images/Normal/0027.JPG,
candle,test,normal,candle/Data/Images/Normal/0100.JPG,
candle,test,normal,candle/Data/Images/Normal/0800.JPG,
candle,test,normal,candle/Data/Images/Normal/0923.JPG,
candle,test,normal,candle/Data/Images/Normal/0755.JPG,
candle,test,normal,candle/Data/Images/Normal/0013.JPG,
candle,test,normal,candle/Data/Images/Normal/0297.JPG,
candle,test,normal,candle/Data/Images/Normal/0768.JPG,
candle,test,normal,candle/Data/Images/Normal/0457.JPG,
candle,test,normal,candle/Data/Images/Normal/0520.JPG,
candle,test,normal,candle/Data/Images/Normal/0952.JPG,
candle,test,normal,candle/Data/Images/Normal/0871.JPG,
candle,test,normal,candle/Data/Images/Normal/0811.JPG,
candle,test,normal,candle/Data/Images/Normal/0174.JPG,
candle,test,normal,candle/Data/Images/Normal/0648.JPG,
candle,test,normal,candle/Data/Images/Normal/0261.JPG,
candle,test,normal,candle/Data/Images/Normal/0784.JPG,
candle,test,normal,candle/Data/Images/Normal/0935.JPG,
candle,test,normal,candle/Data/Images/Normal/0286.JPG,
candle,test,normal,candle/Data/Images/Normal/0779.JPG,
candle,test,normal,candle/Data/Images/Normal/0363.JPG,
candle,test,normal,candle/Data/Images/Normal/0619.JPG,
candle,test,normal,candle/Data/Images/Normal/0024.JPG,
candle,test,normal,candle/Data/Images/Normal/0735.JPG,
candle,test,normal,candle/Data/Images/Normal/0688.JPG,
candle,test,normal,candle/Data/Images/Normal/0796.JPG,
candle,test,normal,candle/Data/Images/Normal/0178.JPG,
candle,test,normal,candle/Data/Images/Normal/0797.JPG,
candle,test,normal,candle/Data/Images/Normal/0920.JPG,
candle,test,normal,candle/Data/Images/Normal/0479.JPG,
